resale_price,lease_remain_years,bhk,floor,address_encoded_numeric
435000.0,60,4,8.0,20
438000.0,74,4,2.0,20
460000.0,73,4,17.0,20
460000.0,81,4,17.0,20
460000.0,80,4,23.0,20
463888.0,59,4,11.0,20
465000.0,73,4,5.0,20
470000.0,73,4,8.0,20
440000.0,61,5,2.0,20
580000.0,81,5,14.0,20
600000.0,61,5,5.0,20
622000.0,73,5,5.0,20
710000.0,79,5,17.0,20
718888.0,79,5,17.0,20
728000.0,61,5,17.0,20
280000.0,45,2,11.0,20
280000.0,46,2,11.0,20
315000.0,50,3,5.0,20
345000.0,47,3,8.0,20
355000.0,46,3,11.0,20
360000.0,59,3,17.0,20
363000.0,45,3,5.0,20
366000.0,49,3,5.0,20
369888.0,49,3,8.0,20
372000.0,52,3,5.0,20
375000.0,52,3,11.0,20
380000.0,49,3,8.0,20
382000.0,47,3,8.0,20
420000.0,78,3,2.0,20
446888.0,54,3,8.0,20
465000.0,54,3,5.0,20
472000.0,85,3,14.0,20
490000.0,78,3,8.0,20
540000.0,85,3,23.0,20
625000.0,49,3,5.0,20
630000.0,49,3,5.0,20
631000.0,49,3,2.0,20
456000.0,52,4,2.0,20
540000.0,62,4,5.0,20
570000.0,76,4,11.0,20
580000.0,62,4,5.0,20
595000.0,75,4,14.0,20
615000.0,54,4,11.0,20
655000.0,82,4,20.0,20
680000.0,79,4,20.0,20
680000.0,77,4,5.0,20
718000.0,77,4,11.0,20
730000.0,77,4,20.0,20
735000.0,77,4,23.0,20
735000.0,79,4,17.0,20
740000.0,85,4,17.0,20
750000.0,81,4,8.0,20
765000.0,84,4,26.0,20
770000.0,77,4,14.0,20
680000.0,63,5,8.0,20
710888.0,76,5,20.0,20
760000.0,59,5,8.0,20
780000.0,59,5,11.0,20
803888.0,72,5,17.0,20
805000.0,78,5,29.0,20
820000.0,83,5,5.0,20
840000.0,83,5,8.0,20
842000.0,77,5,17.0,20
915000.0,77,5,29.0,20
310000.0,64,3,2.0,20
315000.0,64,3,11.0,20
328000.0,64,3,11.0,20
297000.0,65,4,2.0,20
320000.0,64,4,2.0,20
333000.0,64,4,5.0,20
345888.0,64,4,8.0,20
355000.0,78,4,8.0,20
356000.0,64,4,5.0,20
365000.0,64,4,2.0,20
365000.0,64,4,5.0,20
372000.0,64,4,11.0,20
375000.0,74,4,17.0,20
375000.0,74,4,11.0,20
378000.0,78,4,11.0,20
390000.0,77,4,14.0,20
395000.0,64,4,11.0,20
420000.0,80,4,5.0,20
460000.0,80,4,23.0,16
460000.0,80,4,29.0,16
387000.0,73,5,2.0,20
415000.0,64,5,8.0,20
416500.0,74,5,2.0,20
420000.0,64,5,5.0,20
425000.0,77,5,8.0,20
435888.0,77,5,2.0,20
438000.0,77,5,2.0,20
440000.0,73,5,14.0,20
440000.0,74,5,11.0,20
440000.0,74,5,11.0,20
450000.0,80,5,5.0,20
470000.0,77,5,17.0,20
473000.0,77,5,8.0,20
492000.0,78,5,14.0,20
500000.0,78,5,11.0,20
508000.0,78,5,14.0,20
515000.0,80,5,23.0,20
517000.0,81,5,29.0,20
538000.0,77,5,14.0,20
595000.0,79,5,8.0,20
605999.0,75,5,8.0,20
690888.0,64,4,11.0,20
855000.0,50,5,5.0,20
445000.0,51,3,17.0,20
452888.0,53,3,14.0,20
455000.0,54,3,11.0,20
540000.0,56,3,14.0,20
493000.0,50,4,20.0,20
818000.0,87,4,20.0,20
830000.0,87,4,23.0,20
838000.0,87,4,23.0,20
842000.0,87,4,23.0,20
295000.0,60,3,2.0,20
320000.0,55,4,2.0,20
323888.0,76,4,8.0,20
325000.0,65,4,2.0,20
330000.0,79,4,5.0,20
330000.0,57,4,5.0,20
340000.0,66,4,5.0,20
343000.0,65,4,2.0,20
345000.0,68,4,2.0,20
345000.0,78,4,20.0,20
350000.0,75,4,5.0,20
350000.0,55,4,11.0,20
355000.0,65,4,8.0,20
358000.0,78,4,17.0,20
360000.0,66,4,2.0,20
360000.0,69,4,11.0,20
360000.0,74,4,14.0,20
365000.0,78,4,17.0,20
365000.0,75,4,5.0,20
370000.0,65,4,11.0,20
371000.0,66,4,2.0,20
375000.0,65,4,5.0,20
375000.0,75,4,8.0,20
375000.0,72,4,5.0,20
375000.0,73,4,11.0,20
376000.0,69,4,8.0,20
380000.0,68,4,8.0,20
380000.0,75,4,14.0,20
380000.0,69,4,5.0,20
385000.0,75,4,14.0,20
385000.0,75,4,8.0,20
392000.0,68,4,11.0,20
393000.0,69,4,14.0,20
412000.0,73,4,11.0,20
510000.0,74,4,5.0,20
515000.0,74,4,11.0,20
423000.0,72,5,5.0,20
430000.0,75,5,8.0,20
430000.0,79,5,17.0,20
430000.0,55,5,14.0,20
434000.0,78,5,17.0,20
435000.0,71,5,2.0,20
438000.0,65,5,8.0,20
442500.0,71,5,14.0,20
450000.0,72,5,2.0,20
450000.0,71,5,8.0,20
460000.0,75,5,14.0,20
470000.0,69,5,5.0,20
470000.0,71,5,14.0,20
480000.0,75,5,8.0,20
285000.0,56,3,5.0,20
286000.0,56,3,2.0,20
295000.0,55,3,5.0,20
305000.0,55,3,5.0,20
310000.0,56,3,2.0,20
318800.0,56,3,11.0,20
332000.0,55,3,5.0,20
